id;level_white;level_black;cp_white;cp_black;diff_level
0;1;2;0.350000 0.440000 0.170000 0.190000 -0.490000 -0.940000 -1.010000 -0.750000 -1.880000 -1.100000 -3.660000 -5.120000 -4.180000 -4.110000 -7.230000 -6.980000 -9.060000 -2.790000 -10.540000 -14.920000 -14.550000 -14.320000 -13.810000 -13.730000 -13.570000 -15.080000 -15.760000 -16.370000 -15.970000 -15.860000 -17.000000 -16.730000 ;0.300000 0.470000 0.110000 -0.530000 -0.900000 -1.220000 -1.150000 -2.310000 -2.420000 -3.780000 -4.160000 -4.850000 -7.310000 -5.300000 -6.130000 -14.460000 -14.770000 -14.390000 -14.700000 -14.470000 -13.960000 -13.880000 -13.650000 -13.490000 -15.920000 -16.620000 ;-1
0;1;1;0.350000 0.480000 0.310000 0.640000 0.860000 0.850000 1.760000 1.700000 1.050000 0.530000 0.140000 -0.030000 -0.050000 -0.320000 0.020000 3.360000 0.460000 3.240000 11.230000 3.380000 4.290000 4.780000 4.850000 2.980000 2.250000 1.850000 2.660000 3.980000 3.450000 2.220000 1.600000 5.740000 2.440000 1.740000 1.580000 1.000000 1.470000 1.500000 1.380000 6.250000 6.250000 6.290000 8.830000 8.670000 8.280000 5.730000 9.870000 62.060000 61.980000 61.880000 61.980000 58.180000 61.800000 73.100000 64.120000 ;0.200000 0.330000 0.730000 0.490000 0.540000 -1.650000 1.820000 1.470000 0.620000 -0.850000 -0.170000 -0.540000 -0.270000 -0.390000 -0.190000 0.420000 0.880000 1.180000 2.600000 3.760000 5.010000 5.060000 1.630000 2.400000 2.780000 1.390000 -2.130000 -6.310000 2.750000 2.080000 1.110000 1.580000 1.270000 1.610000 1.150000 0.720000 1.190000 2.040000 -3.080000 7.690000 7.510000 9.800000 9.770000 9.250000 10.210000 9.520000 12.530000 10.810000 61.360000 61.260000 61.360000 61.430000 60.120000 58.710000 57.470000 61.270000 72.350000 70.790000 69.330000 67.880000 66.380000 64.840000 63.380000 ;0
1;1;2;0.350000 0.440000 0.380000 0.320000 0.380000 1.990000 0.460000 0.220000 0.590000 0.840000 1.370000 2.750000 3.620000 4.450000 3.760000 4.610000 4.570000 5.290000 6.620000 7.380000 6.430000 7.670000 7.100000 8.040000 7.510000 7.430000 8.870000 8.230000 7.540000 10.360000 6.360000 13.310000 13.150000 12.960000 12.550000 11.380000 ;0.300000 0.380000 0.370000 0.400000 0.090000 0.020000 -0.510000 -2.620000 0.880000 0.940000 0.880000 2.620000 -0.710000 4.110000 3.870000 4.760000 4.620000 5.700000 7.620000 9.140000 4.550000 8.040000 6.330000 6.100000 5.660000 1.090000 8.590000 13.450000 12.700000 10.920000 12.540000 12.380000 12.210000 7.920000 11.120000 ;-1
1;1;1;0.350000 0.480000 0.310000 0.560000 0.260000 1.520000 1.300000 0.250000 0.380000 1.150000 0.620000 1.440000 1.310000 3.240000 0.230000 -11.030000 -10.030000 -11.830000 -11.380000 -11.480000 -5.940000 -9.170000 -10.650000 -4.770000 -7.120000 -5.000000 -4.570000 -3.150000 -5.100000 -6.270000 -3.650000 -6.620000 -6.930000 -60.340000 -59.180000 -58.010000 -56.740000 -55.460000 -10.370000 -10.690000 -10.040000 -9.950000 ;0.200000 0.330000 0.310000 -1.220000 0.410000 -0.270000 -0.860000 2.170000 2.420000 1.260000 1.770000 0.000000 0.810000 -0.530000 1.000000 0.250000 1.870000 -4.120000 -2.830000 -2.000000 -3.290000 -5.540000 -8.220000 -9.760000 -9.080000 -7.230000 -5.800000 -6.150000 -5.500000 -9.400000 -8.250000 -6.730000 -5.900000 -4.230000 -3.000000 -3.160000 -5.640000 -3.770000 -4.460000 -59.820000 -58.660000 -56.220000 -54.850000 -11.030000 -10.530000 -9.750000 ;0
2;1;2;0.350000 0.480000 0.310000 1.160000 0.780000 1.570000 2.250000 3.930000 4.610000 4.460000 0.460000 0.360000 0.040000 -0.090000 0.610000 1.010000 0.680000 4.270000 3.630000 6.190000 3.860000 1.450000 0.900000 0.550000 0.900000 1.110000 3.770000 0.900000 6.310000 1.450000 1.300000 -1.990000 -2.860000 -5.530000 -6.240000 -6.190000 -6.280000 -6.400000 -6.310000 -5.850000 -5.440000 -5.190000 -6.700000 -7.500000 -4.710000 -5.540000 -6.390000 -6.340000 -9.370000 -9.250000 ;0.200000 0.330000 0.730000 0.730000 -2.120000 1.450000 3.340000 1.800000 2.390000 0.500000 0.220000 0.420000 0.210000 0.220000 1.020000 0.640000 0.290000 0.600000 0.700000 -6.850000 3.130000 2.260000 0.560000 0.740000 -0.300000 0.990000 -0.370000 0.540000 -3.310000 0.440000 0.630000 1.220000 0.800000 0.050000 -1.410000 -1.830000 -3.030000 -4.910000 -6.310000 -5.980000 -6.380000 -5.620000 -5.270000 -4.260000 ;-1
2;1;1;0.350000 0.480000 0.310000 1.160000 1.080000 0.980000 0.580000 0.430000 0.440000 0.300000 0.030000 1.830000 1.720000 3.670000 1.970000 1.500000 1.760000 0.920000 0.300000 0.780000 7.310000 ;0.200000 0.330000 0.730000 1.200000 0.840000 0.790000 0.690000 0.450000 0.180000 0.060000 -1.820000 1.780000 1.430000 1.450000 2.380000 1.810000 -0.780000 0.420000 1.880000 2.600000 4.430000 -1.830000 4.750000 6.700000 11.990000 10.200000 ;0
3;1;1;0.350000 0.480000 0.310000 0.270000 0.180000 0.210000 0.240000 0.420000 0.030000 -0.620000 0.580000 -0.250000 0.550000 6.920000 -0.080000 -0.450000 -1.380000 -1.150000 -1.990000 3.470000 -10.540000 -11.270000 ;0.200000 0.330000 0.310000 0.110000 0.120000 0.130000 0.360000 0.070000 -0.590000 -0.390000 -0.620000 -0.490000 0.470000 0.440000 -0.190000 -0.470000 -1.030000 -1.360000 -1.780000 -7.890000 -10.540000 -10.620000 ;0
3;1;2;0.350000 0.480000 0.310000 0.410000 0.220000 0.210000 0.420000 0.060000 0.000000 0.600000 0.170000 0.490000 -1.860000 -1.900000 -1.940000 -1.360000 -1.380000 -2.000000 -1.940000 -1.200000 -1.340000 -1.300000 -3.390000 -2.400000 -3.620000 -3.960000 -2.500000 -5.600000 -4.120000 -8.530000 -6.620000 -6.620000 -11.500000 -10.580000 -10.530000 -10.690000 -10.520000 -7.690000 6.850000 5.540000 9.040000 5.630000 8.490000 6.080000 9.220000 7.080000 6.690000 7.180000 6.540000 4.720000 6.320000 5.150000 5.150000 5.120000 5.620000 6.110000 7.230000 8.230000 10.080000 12.540000 63.220000 ;0.200000 0.330000 0.160000 0.120000 0.190000 0.160000 0.260000 -0.090000 0.200000 0.380000 -0.380000 -4.710000 -2.560000 -2.280000 -1.160000 -1.300000 -2.100000 -1.840000 -2.240000 -9.920000 -3.510000 -3.610000 -3.810000 -4.380000 -3.160000 -3.700000 -5.950000 -8.460000 -8.920000 -12.310000 -9.190000 -7.920000 -6.560000 -9.230000 -7.750000 -6.900000 -6.440000 -6.830000 2.730000 -5.080000 5.560000 5.230000 9.490000 9.450000 5.860000 9.660000 4.770000 5.710000 5.630000 8.790000 8.410000 4.460000 6.380000 6.890000 4.640000 4.720000 7.240000 5.780000 6.380000 7.080000 8.830000 11.040000 12.490000 65.220000 63.880000 62.470000 ;-1
4;1;1;0.350000 0.480000 0.310000 0.250000 0.130000 -0.460000 -0.600000 -0.500000 -0.540000 -0.120000 0.280000 0.890000 0.660000 3.290000 1.910000 2.580000 -0.120000 4.070000 -0.500000 -0.270000 -0.350000 -0.470000 -0.950000 -0.700000 -0.510000 -0.240000 0.290000 0.030000 0.090000 0.000000 -0.240000 1.580000 0.420000 0.770000 5.540000 0.080000 -0.220000 -0.130000 -0.630000 -0.800000 -0.580000 -0.500000 -0.380000 -0.350000 -0.500000 -0.380000 -0.310000 -0.380000 ;0.200000 0.330000 0.160000 0.180000 -0.800000 -1.000000 -0.590000 -0.810000 -0.270000 0.000000 0.250000 -2.160000 0.460000 0.210000 -9.080000 -0.230000 0.740000 0.980000 0.310000 -0.990000 -0.620000 -0.590000 -1.920000 -0.450000 -0.600000 -0.130000 0.030000 0.040000 0.120000 -0.040000 0.090000 0.620000 0.320000 0.270000 0.150000 -0.210000 -0.570000 -1.190000 -2.440000 -0.020000 -0.070000 -0.040000 -0.040000 -0.010000 -0.070000 -0.010000 ;0
4;1;2;0.350000 0.480000 0.430000 2.080000 -0.060000 -0.030000 0.160000 2.440000 3.300000 7.390000 6.230000 6.230000 6.250000 12.070000 12.200000 11.720000 9.090000 0.920000 2.510000 0.280000 -0.530000 -0.730000 -8.620000 -4.150000 -2.180000 -6.560000 -3.920000 -4.310000 -9.750000 -10.540000 ;0.200000 0.330000 0.400000 0.020000 -0.580000 0.250000 1.150000 1.900000 6.140000 5.400000 6.010000 13.880000 13.790000 13.040000 12.650000 8.460000 2.420000 1.220000 1.450000 0.690000 -6.080000 -4.380000 -4.870000 -2.950000 -9.890000 -10.620000 -10.940000 -10.380000 ;-1
